,MOFA_miRNA_Factor1,MOFA_miRNA_Factor2,MOFA_miRNA_Factor3,MOFA_miRNA_Factor4,MOFA_miRNA_Factor5
TCGA.C8.A26Z,-1.4752462768532064,-1.1008486859958009,-0.041744803203525624,-0.5156582462863578,-0.30936033843764665
TCGA.C8.A273,-1.5716541038345737,-1.198372830758116,-0.4408194998979339,-0.09745522967096351,-0.2750940734223858
TCGA.C8.A274,-1.3440059805694244,-2.3286733427882793,-0.03271459027692398,-0.21621010418975312,-0.3157956930226597
TCGA.C8.A275,0.3731670764524484,-1.244222293468943,-1.2758455698140374,0.08770547553119332,-0.35863459836923695
TCGA.C8.A278,1.833671704454393,-0.05223793927987735,0.29706644536356136,-0.4556436103300365,-0.6096111467053023
TCGA.C8.A27A,1.3373743221194694,0.3430780028486265,0.3693214050793236,-0.059443400360797524,-0.6297482649667868
TCGA.C8.A27B,2.506612935546831,-1.8994888586936742,-1.5510595424634934,0.7204983016292908,0.5816537085242558
TCGA.C8.A3M7,-2.163216371740348,-0.19922144450105733,-1.1349320668234306,1.1726307969241037,-0.29803434317087774
TCGA.C8.A3M8,-0.8151190104648772,-0.010111257887750013,-0.4530006115199076,0.10001989116726161,-0.49783414929213854
TCGA.D8.A1J8,0.5872563421490926,-0.94969396243665,0.3619580440634804,-0.5833834588335425,-0.6229776218099445
TCGA.D8.A1J9,0.7549651032448127,0.11310550278015441,0.8892330279045477,-1.137815047117795,-0.6650955624549919
TCGA.D8.A1JA,0.8131523817137568,-1.4651193660790554,1.0978828127680698,-2.3985326581522672,-0.3814905372617413
TCGA.D8.A1JB,-0.32155880966188677,0.27509650743816366,0.8100576273404598,1.5612335962633477,0.4497534448236125
TCGA.D8.A1JC,1.347901276592867,0.7838972479617962,0.6402299734023883,-0.970517034837384,-0.46814710860574615
TCGA.D8.A1JD,0.04377928886428798,1.0486569228664557,0.7059019662517501,-0.403236590820368,-0.4880165133938353
TCGA.D8.A1JE,0.22158474308174364,2.0454664901292245,1.5492562355529724,0.654546602605687,-0.23364809964303954
TCGA.D8.A1JF,0.7712166179071843,1.4335384790493384,0.8657950416632125,0.3712222513027472,-0.5190753791138961
TCGA.D8.A1JG,1.8688554163589877,0.6209216544488534,0.07242766938504658,0.7472976133264236,-0.8938429493867304
TCGA.D8.A1JH,-0.3035374277054527,1.713511075250061,1.0456864022462427,0.5234330541260414,-0.06626515687089345
TCGA.D8.A1JI,0.14996288462404167,-3.1553635386706924,1.5946476890588086,-0.5337999981894588,-0.34068199081877365
TCGA.D8.A1JJ,0.36689171193818687,0.8503104142496977,1.208303158406817,-1.4080820242444378,-0.14739515927352426
TCGA.D8.A1JK,1.2315728273173563,-0.5667030187935047,0.019620858689012165,-0.379761264561975,-0.2554884542433511
TCGA.D8.A1JL,1.7140695838442257,0.9124890740781506,-0.2810705756209235,1.3721760832516798,-0.33888556550047877
TCGA.D8.A1JN,-1.9100790434219534,-3.2718892351636315,1.6144730532856535,-0.7189910492818186,0.022370254157400606
TCGA.D8.A1JP,0.7480818197188198,1.1545996001867083,0.9390578260845991,-0.9335045785822268,1.5357483940090326
TCGA.D8.A1JS,0.4963829812023598,-2.410219262070463,2.4338300771421824,2.1328746316836384,-0.24092665804481414
TCGA.D8.A1JT,1.3466405212684842,-1.9828870562134548,1.0383344340587828,-0.053602759861136044,-0.6843077697054948
TCGA.D8.A1JU,-1.1705160266995822,2.224823330751779,1.103274617849217,0.4153695557369735,-0.05515237652583837
TCGA.D8.A1X5,1.0438866624021108,-0.36234453029423896,1.8159552418959928,-1.2218297380528655,11.307510298475485
TCGA.D8.A1X6,1.560659872426087,-0.928955926270842,1.4355258194878133,0.056590011246672844,-0.6786042546612467
TCGA.D8.A1X7,0.8842561652838852,0.4878821555660203,1.307541235207577,-0.7500034201773569,-0.5874863152876593
TCGA.D8.A1X8,-2.1730651371798895,-1.1355085967133753,-0.9944004985104618,-1.5000700972174756,-0.3316976034392528
TCGA.D8.A1X9,-1.989064939547587,-1.573093334789111,-1.0578925156572183,-2.29052175593857,-0.27176000084369706
