,MOFA_methylation_Factor1,MOFA_methylation_Factor2,MOFA_methylation_Factor3,MOFA_methylation_Factor4,MOFA_methylation_Factor5
TCGA.BH.A1FJ,-3.433106528123041,-0.07709361366963555,-1.1648094244487495,0.013096259365612954,1.2948721511754433
TCGA.BH.A1FL,-2.8928944879432272,-0.8002879624019934,0.22253413389270207,1.9240155953415958,1.0719360475502653
TCGA.BH.A1FM,-1.766032453517402,-1.800536092248684,-2.105171509059349,0.5529075725577071,-0.9517177364110583
TCGA.BH.A1FN,0.2139628683261549,-3.178268956037906,1.189326360439632,2.1741053423975627,-1.4911713369718493
TCGA.BH.A1FR,0.3590024317166534,-1.9137494046072567,1.3354565025240328,-1.6369718182061601,-0.5379502901261445
TCGA.BH.A201,0.1114166175689107,-1.195363277326494,1.3122841135176742,1.2886136542145632,0.15115684292484888
TCGA.BH.A202,0.3039589033019653,1.716352811753282,0.8273168748621468,1.6156822242247935,0.6434678140859824
TCGA.BH.A203,0.24084477410433433,2.526807848821758,0.7925804332893382,0.7639848716016727,0.24890324489560783
TCGA.BH.A204,-3.527057671493884,0.29161095870308945,-3.0480910637483145,-2.309769271942615,-2.467084551486643
TCGA.BH.A209,1.513791849552045,2.671556158230406,1.3143848058576726,-1.4765286081258888,0.5042430470056379
TCGA.BH.A28Q,-2.000423626845117,0.7447692150448595,1.2649228709865987,0.8645258547782748,1.282449613206332
TCGA.BH.A42T,-2.459811685069551,1.9204250560255725,0.8701488953959863,1.0425485905760454,-0.16751084544127476
TCGA.BH.A42V,0.11030400133540273,0.8800709085568859,0.8121048792811905,-0.6061926175735736,0.153642169705415
TCGA.C8.A1HE,-2.7265356824223197,0.28497074355270813,2.7786331315012545,1.7409223081286973,0.8927231794985725
TCGA.C8.A1HF,-0.014371559527494972,0.48791504538993186,0.6755161724838122,1.0685128046818175,0.27126752331616505
TCGA.C8.A1HG,0.5527282561112039,-1.8116254661895377,-0.9607335964777399,-1.4880741335248333,-1.691061563339818
TCGA.C8.A1HI,-0.006272317992845153,-0.4071704936032996,1.5262610681227622,-0.1187433716704074,-1.0361073084178882
TCGA.C8.A1HJ,4.234680809827652,-0.4386995457807956,-1.2540950842700593,1.1082548204842768,-2.086773093198369
TCGA.C8.A1HK,-0.7585560635129378,-1.6495685195300145,-2.137107401952696,0.8682635847488434,-1.0008498880342296
TCGA.C8.A1HL,-1.9665476649795355,-1.930254149985742,-2.57849263002348,-0.8843872988752053,-1.4826447696100964
TCGA.C8.A1HM,-0.5384949044038647,-0.6741503901195609,-2.767758398688087,-0.7250206070534048,0.11452459604776653
TCGA.C8.A1HN,-1.6794780998890446,-0.8986980494174479,-0.12129542491332142,0.5530803871262471,-2.4173789015851637
TCGA.C8.A1HO,-3.553502572686411,2.1352206678382974,0.7503104494997173,-0.5940993689933339,-3.061667503492475
TCGA.C8.A26V,-1.9515274535007479,1.4256115688231257,-0.35474901243143825,1.3095679922723757,1.290526499010626
TCGA.C8.A26W,0.4777892748843665,-2.628606313975703,-0.9302173438427548,-0.5866781410911709,0.2306346996913524
TCGA.C8.A26X,1.115861294451061,2.0545988375306132,-1.4745017414341308,-0.4034821110664544,1.540907043075199
TCGA.C8.A26Y,1.6721653617597656,0.07356815772557863,-0.6459227358070669,-1.6334422979905991,0.3479573238549494
TCGA.C8.A26Z,-1.943662458108803,-2.272852634461368,-1.4577792676355994,-2.1536192593374346,-2.397600461257359
TCGA.C8.A273,-1.6254733931651575,0.6862166988514485,-0.30420912204166883,-1.4491939496933166,-1.4452546943978875
TCGA.C8.A274,-2.9883660296691756,1.7903344708752778,0.46130707481813965,2.186151852780481,0.5781476946959744
TCGA.C8.A275,0.24123671713557784,2.402098253427734,0.10398873430813514,-0.07915907305741199,0.5980934418044853
TCGA.C8.A278,0.9051386758765094,1.8732171681134258,-0.5307194572371515,-1.0845082295473871,1.1880138426236588
TCGA.C8.A27A,-1.95380168147735,-0.22646455197517387,-1.3009089583276154,-1.9815754282670623,-4.485158082850964
