,miRNA_PC1,miRNA_PC2,miRNA_PC3,miRNA_PC4,miRNA_PC5
TCGA.D8.A1JN,-16.900857506074843,-12.442468649069031,8.413876441308373,-5.893834366761822,4.74883740864111
TCGA.D8.A1JP,6.896198560811608,5.6297779009084605,2.4219863228781486,-7.3087498261033526,1.5375567510336492
TCGA.D8.A1JS,1.4504194489130382,-11.784431276475557,12.703435792191357,8.337552518179095,6.436958239383652
TCGA.D8.A1JT,5.556673177326095,-11.517727331081977,6.568213137541303,2.102649160908599,-0.4528895832056695
TCGA.D8.A1JU,-5.229861424442531,14.13007018604668,3.541420280209448,-0.11136956534885338,2.078750206919162
TCGA.D8.A1X5,14.928804799222558,-3.3787665626806005,-5.137491020166923,-26.357396297311247,22.838975750923712
TCGA.D8.A1X6,8.587657895965817,-7.383242377867919,8.63184080426376,3.3751420426089536,-1.6618185090161623
TCGA.D8.A1X7,5.471436913671274,1.387062340311426,7.367274329991286,-1.7572037712802757,-1.576582045618148
TCGA.D8.A1X8,-16.035140469874932,-3.4974107004108186,-4.141861213427025,-3.12431467325387,-2.988817997943599
TCGA.D8.A1X9,-15.009637832259086,-7.377286591767154,-3.9323603208985247,-5.028717664772458,-7.226097637403198
TCGA.D8.A1XA,0.9975869915465977,-3.392986264912426,6.896101261961604,-2.178228162957571,-1.1430185983838679
TCGA.D8.A1XB,-8.856002412697192,5.27483490181428,4.125143398664086,-8.477513134941997,-0.24554760706206785
TCGA.D8.A1XC,-9.927361222934046,-16.445088105702894,8.371012359242057,-1.6871288114961185,3.447948506680421
TCGA.D8.A1XD,2.1650936670441974,0.0894716575094475,3.2402264503345863,-9.592960257582826,4.6228560259591855
TCGA.D8.A1XF,3.9272234327753575,-7.908316770335251,4.851820887447252,0.21611847055065986,-0.670546104893417
TCGA.D8.A1XG,-4.899797785679766,-3.8410799763725514,6.622137149222776,-2.1031858637611163,3.999835772313251
TCGA.D8.A1XJ,-8.715468739825669,-8.165755787610408,-4.981529419534541,-6.898243668098057,-8.760757892979182
TCGA.D8.A1XK,9.279844066941394,-14.598804615920306,-1.7534469760280609,-4.551108282872184,-2.3329884886927985
TCGA.D8.A1XL,-10.239658076916266,-13.447400428106732,-4.893528686563854,-4.777932889300602,-7.580424797668085
TCGA.D8.A1XM,-9.630424292849694,-1.6410429976005982,-6.5071810227931435,-4.198922505098564,-6.202109952435532
TCGA.D8.A1XO,-2.621654791223521,2.384337649880951,6.69336269555664,-5.065988862212207,1.8389927742027061
TCGA.D8.A1XQ,19.803633633648367,-7.2935097258942845,-12.864542757086738,-21.827020506786198,21.39541455139186
TCGA.D8.A1XR,1.6646826791548228,-4.527218896663514,7.206079070412135,-1.7779497485220603,1.0649327171837235
TCGA.D8.A1XS,-7.0384054378327745,-0.6843554329147438,2.7949090130556105,-4.7589075647167265,-0.6062280818947041
TCGA.D8.A1XT,9.136441950546285,5.330120732080252,3.0014067672006095,-4.881312000387695,-4.2420715119882075
