,RNAseq_PC1,RNAseq_PC2,RNAseq_PC3,RNAseq_PC4,RNAseq_PC5
TCGA.C8.A1HF,-7.018602521430477,-9.646877025766441,16.86110919737857,0.672746759589733,-2.8978077314418105
TCGA.C8.A1HG,0.12255652419037821,-8.465136493731084,5.884653453104904,20.689822484053355,9.801671155109789
TCGA.C8.A1HI,4.494361757233525,4.824474060688918,-8.47912563254144,-5.981847395653995,2.291828161862597
TCGA.C8.A1HJ,-36.22004804967315,-5.8449351455684475,-11.356012418235457,0.18571438904852985,8.627653401477689
TCGA.C8.A1HK,-3.6657782931387106,-13.921201828807805,12.46149842745629,-2.1101234529602775,1.379385077700238
TCGA.C8.A1HL,9.892129922225855,-12.532403698337978,4.668814328251879,-0.07227577670798441,-3.036451396295524
TCGA.C8.A1HM,-2.980158482231179,-8.933656681767506,18.824115324511727,14.031256701040002,-8.203473247933797
TCGA.C8.A1HN,10.976913060559285,-23.728451057098287,3.4909086528128093,5.41037323451786,-2.454058176790672
TCGA.C8.A1HO,17.105447340701335,-17.326381618071146,-0.6091444812675931,17.7940132492818,10.9541695404497
TCGA.C8.A26V,6.203152436734475,-12.448415492614107,5.331703976772567,-9.707314887130948,-5.171137848969026
TCGA.C8.A26W,4.7803929969197,10.34484643737761,3.817781198293649,3.0170925852749564,-2.45529177536049
TCGA.C8.A26X,-15.542170472926538,1.4994211484186588,23.46126529253461,-0.6434187746865172,-7.0453398926504445
TCGA.C8.A26Y,-16.826286605703444,-9.698392800728032,8.344063982949026,-4.286073394371427,-13.990376716154053
TCGA.C8.A26Z,15.227255842290946,-12.593549937845909,-0.7717762316300953,2.4892712455388146,4.759054106422978
TCGA.C8.A273,6.9086138428880215,-8.814168634178115,-1.636129690047071,1.0772201611545564,3.5613347309821144
TCGA.C8.A274,12.08883619288884,-12.829295583618022,5.7858232287202815,-12.840752788062566,-11.900436845354395
TCGA.C8.A275,-13.583339309015447,-1.2946539365777818,23.472942993467832,-1.7817620834594485,-3.016057265609677
TCGA.C8.A278,-9.382342540904471,-1.0650454463284529,26.170071814710152,-5.6714399135995635,-1.0362685913639316
TCGA.C8.A27A,8.778952228657477,-22.740626848889853,-3.568908975279397,15.448282768530923,18.796834920478346
TCGA.C8.A27B,-39.055696667762014,-18.069278797975652,3.0329228738486056,3.072844930840406,-0.05739620048568634
TCGA.C8.A3M7,-4.471453493599899,16.31178615662637,-1.120986683988521,-5.63816691976565,-3.1003118905139955
TCGA.C8.A3M8,13.366981855442786,-6.9984497840128785,-5.89200296712026,4.972908473081638,0.634755419067212
TCGA.D8.A1J8,-1.2604584519101123,-9.493005774402866,21.383384300176044,-7.203259583851095,1.48222452445694
TCGA.D8.A1J9,3.946369767731681,-9.581788424575318,12.88422719287822,-17.636705345658406,-0.15264037207290945
TCGA.D8.A1JA,-2.7688223691117666,-20.11800452135295,17.08249951123972,-16.139179087741958,3.5589299203428686
TCGA.D8.A1JB,-3.2581188388804296,17.325381288618107,0.9784263396546615,5.68972644151641,7.908562985810784
TCGA.D8.A1JC,1.2612412433223417,-2.0520133956692153,6.3844868846116505,-0.9404521592670331,2.600008810030546
TCGA.D8.A1JD,8.821613569346253,-6.051935019415885,11.030281811236305,-7.7596975083177515,6.711811478341316
TCGA.D8.A1JE,21.290808346231785,-12.765758510262915,4.792869828827161,-7.212865793974098,3.49041634059494
TCGA.D8.A1JF,-7.624207406678006,-5.832794043825202,22.977114115022705,-11.356393686953888,1.9145399250963122
TCGA.D8.A1JG,-14.685709396399774,-5.040355345152324,26.807683560624657,-6.715197852108593,-0.48735865572629955
TCGA.D8.A1JH,8.249472777744238,16.409992372996204,-1.1036605942030349,-5.51192171294326,12.019849155734269
TCGA.D8.A1JI,27.91610512502842,-14.656653562469835,-9.33637234233069,14.802000337109694,-2.472991114952211
TCGA.D8.A1JJ,5.416929639423058,-11.664744783314168,10.976587753847543,-11.154977683985427,-1.1605266278387614
TCGA.D8.A1JK,-20.13445850032646,-9.696658212919642,20.175960151487875,-7.814780274009523,-7.876364982406838
TCGA.D8.A1JL,-32.74998327441774,-1.044587360959372,-1.4977943359492303,-1.281993212653508,6.984478781537061
TCGA.D8.A1JN,6.246889821001141,-6.659820189308852,7.208163829123167,-5.534376219402583,-16.893460634570005
TCGA.D8.A1JP,2.367513917954906,1.210085795878256,1.986889119806287,-6.5815590102005945,2.8727816366375656
TCGA.D8.A1JS,23.47127712395342,-20.450929953089283,-7.234305759402072,0.5262260141642628,-22.79843533539791
TCGA.D8.A1JT,13.986396233390227,-22.7178636002924,-0.48700312663207945,-0.13629467348721314,-1.1904358633226018
TCGA.D8.A1JU,6.1797168459893035,19.88991967441592,-0.8163812946440592,-5.503248939328608,8.104807657508585
TCGA.D8.A1X5,14.141887562793158,-15.13566537109387,11.803195130178512,0.7842858776239147,-2.6490612617810574
TCGA.D8.A1X6,20.99447166094824,-18.825492593395722,3.531054245320488,6.041643393628409,-5.127635694296218
TCGA.D8.A1X7,15.933415012892326,-10.181390529934198,-0.7294701590254965,-2.7898811382242754,3.7179857683474373
TCGA.D8.A1X8,13.380953735494215,11.575263587728028,-4.766792343778756,0.13969374517311273,2.1560989258814938
TCGA.D8.A1X9,9.121865982629426,-14.873104471073358,10.768230707943896,2.064306781406393,11.232698920001805
TCGA.D8.A1XA,14.158340840996836,-9.06608872791362,1.2650779513903703,3.334804260358829,-2.188521942997609
TCGA.D8.A1XB,9.15197579511376,2.2657759905675263,-2.9615223981421783,-15.627193585967788,7.450820869564975
TCGA.D8.A1XC,26.41412102935651,-25.461717076893912,-15.363251241733023,7.373126013475345,0.8596987407819391
TCGA.D8.A1XD,10.295603127580229,-9.428586393076863,-7.123683994466164,-6.255554327533622,16.60321315356887
TCGA.D8.A1XF,11.560442307385836,-22.72603278370131,-5.032419258195746,21.341970844535915,8.458259814881982
